,name,city,date,review
2945,ирина,Смоленск,2022-10-15,"Проведена 13.102022 г. ипотечная сделка офис кредитования РОО 2Смоленский"" Филиал № 3652 и офис ДО ""Новоясеневский""."
3896,Несмачный,Ростов-на-Дону,2023-07-17,Отличный банк присутствует система кешбека с выбором повышенного процента на категории все устраивает!
3909,Злата,Москва,2023-07-17,"Пользуюсь данным банком уже достаточно давно, услуги предоставляются на высшем уровне.есть не только обычная дебетовая карта, но и кредитная.все просто супер"
6502,Тенгизи,Москва,2021-06-26,"История началась с того, что мной была заказана премиальная дебетовая карта ""с большими бонусами Сбер Платинум"" за 4900 в год. В приложении было написано ""карта доставляется к месту выдачи, можно забрать завтра. И каждый день новое ""завтра"". Так и прождал 2 (!) месяца думая каждый день, что завтра заберу (ха-ха). Так и не поняв в чем заключается ""премиальность карты"", принял решение освободить себя от новой обязанности каждый день заходить в приложение и проверять, готова ли карта, и попытался закрыть ее не дожидаясь. Однако сделать это можно только в отделении банка, там же и написать прошение об отмене комиссии за годовое обслуживание (баланс карты после заказа сразу был минус 4900). Нельзя сделать кнопку в приложении чтобы отказаться от карты?

​

Затем вновь возникла потребность в этом продукте, но заказать карту в приложении было уже нельзя. По телефону операторы отвечали по разному: одни говорили, что можно оформить, но только в отделении ""СберПервый"", другие - что можно прийти в любое отделение банка. Так и сделал, пришел в обычное отделение. Сказал менеджеру какую карту хочу оформить и тут же невольно стал зрителем красочной презентации новой суперкрутой карты от Сбербанка, которая во всем лучше чем Сбер Платинум. К тому же еще и значительно дешевле (1690 в год против 4900 у той). Легко соглашаться не стал, попытался все-таки объяснить что хотел бы именно ту, что попросил, т.к. интересует меня кэшбек 10% на АЗС без выполнений каких либо условий. Но менеджер продолжала активно настаивать на преимуществах новой карты, и показала мне распечатку, на которой среди прочих бонусов была информация и о заветных 10% кэшбека с АЗС. Несколько раз переспросил, точно ли не нужно выполнять никаких условий и ничего поверх годовой комиссии (1690) не платить. Менеджер заверила что так оно и есть. На вопрос о том, зачем тогда вообще нужна карта в 3 раза дороже и проигрывающая по всем параметрам, ответила что для статуса (типо на самой карте есть слово Platinum). Такой ответ сильно смутил и я уже заподозрил неладное, но с увиденными распечатками тарифов не поспоришь, лучше во всем ну и хорошо, тогда выбираю новую. 

Менеджер сразу предложила оплатить годовую комиссию не дожидаясь выпуска карты (видимо свой % они получают не сразу, как ее впарят, а когда клиент оплатит 1690р).

​

Довольный тем, что сэкономил 3 тысячи на комиссии, ушел из банка, но решил все-таки уточнить в чате приложения, все ли так на самом деле.

Ну тут и началось ""премиальное обслуживание"")))

В чате ответили, что оформил я оказывается обыкновенную карту, а чтобы все эти бонусы работали необходимо подключать  дополнительные подписки за 399р в месяц (что равно 4788 в год + годовое обслуживание 1690 = 6478)

А без подписок кое какие бонусы можно получать в зависимости от выполнения условий, который я изначально не собирался выполнять и хотел честно заплатить 4900 в год чтобы иметь все те бонусы, которые мне за эти деньги полагаются.

​

В итоге я вынужден закрывать карту, которую мне впарили, а чтобы получить ту, которая мне с самого начала была нужна, должен заного идти в банк и писать заявление на выпуск карты. Всю ситуацию описал сотрудникам в чате, ожидал, что попытаются как-то исправить ситуацию, что им стоит оформить мне эту карту, не заставляя меня бегать по офисам банка (такое отношение к держателям платиновых карт у Сбера?). 

​

А все из-за того, что менеджер любой ценой хотела впарить мне что ей нужно

Я понимаю, что такая у них работа, но это был абсолютно наглый обман, как будто на рынок пришел, а не банк

Просто врут и говорят одно, а на деле все совсем по другому"
6534,Александр,Москва,2021-05-19,"Добрый вечер! 
У меня сейчас идёт процедура банкротства, стадия реструктуризации долгов, что бы снять ЗП я пишу заявление в офисе для разблокировки счета и снятие средств.
Я 15 мая этого года, писал заявление ( SD 0159420158), для разблокировки счета, уже 19 мая, результата нет!!!! 5 дней не могут разблокировать счёт( хотя пишу заявление не первый и не второй раз)!!! Наплевательское отношение у людям!"
6687,Юлия,Тамбов,2020-11-12,"У меня ипотека в Сбербанке. Так же оформила страхование жизни и недвижимости от Сбербанка. В июне месяца позвонили и предложили сделать автоплатеж на данные страхования. Подключили. В конце июня списывают деньги за страхование жизни и недвижимости. По графику у меня платеж 23 июля. В итоге звонят из банка говорят ""Ваше страхование жизни не отображается"". Думаю как так? я же все оплатила? Футболят меня от одного отделения к другому, от специалиста к другому специалисту. Оказывается, что специалист не учел, что я делала досрочные обогащения и что сумма остатка у меня другая на данные момент. За 4 месяца я уже написала больше 4-х обращений. Звонила больше 15 раз. Была в отделении 2 раза и подкрепляла чеки,документы,графики платежей и тд. Что еще нужно? 4 месяца! 4 месяца не могу решить свою же ошибку. Последнее обращение с просьбой перерасчитать страхование и откорректировать составила 19 октября. До сих пор ответа нет. То есть получается, что из-за ошибки специалиста у меня теперь повысилась процент за ипотеку? Сбербанк страхование жизни.. я просто в шоке. ХОТЬ КТО-НИБУДЬ ТАМ МОЖЕТ ИСПРАВИТЬ ТЕХНИЧЕСКУЮ ОШИБКУ И СДЕЛАТЬ МНЕ ПЕРЕРАСЧЕТ?"
6655,Игорь,Краснодар,2021-01-15,"Банк арестовал дебетовую карту по отмененному исполнительному производству, а значит, неправомерно. В ФССП подтверждено, что нет активных исполнительных производств, скриншоты предоставлены. Сотрудники поддержки Сбер Банка подтвердили, что банк получил документы об отмене исполнительного производства от судебных приставов. Скриншоты переписки с поддержкой есть. Банк сам (!) прислал уведомление об отмене исполнительного производства. Однако, на прямой вопрос ""Так почему же по карте действует взыскание или арест"" ни онлайн-поддержка в чате (общался с несколькими сотрудниками поддержки) ни поддержка по адресу help@sberbank.ru ответить не могут - приходят стандартные отписки, никто даже не вникает в суть вопроса. Всем превать на обращение!"
584,Виктор,Екатеринбург,2020-07-05,"Пользуюсь кредитной картой opencard открытия уже полгода. Отличная кредитка! Льготный период 55 дней, но покрыть расходы вполне хватает. Пополнение без комиссии, обслуживание бесплатное. Так еще и кэшбэк за покупки есть!!!!"
556,Евгений,Москва,2020-08-19,"Брали кредит в этом банке, нареканий пока нет. Одобрили нужную сумму, месяц назад полностью рассчитались. В пользу банка могу сказать, что добрили кредитные каникулы на 2 месяца, что очень выручило нашу семью. Спасибо!"
51,Алексей,Владимир,2023-04-19,"Оставлял заявку на кредит, предварительно одобрили! Приехал в банк в субботу, с менеджером заполнили заявку и кредит был одобрен моментально! При оформлении кредита завис компьютер и мне сказали приехать чуть позже (ну думаю с кем не бывает а особенно в этой стране)! Через неделю поехал опять, заполнил анкету и уехал (сказали ждать), через пару дней написал менеджеру а мне оказывается отказали и менеджер сообщила то что мне смс должна была поступить! Думайте сами адекватная ситуация или нет, я потратил на них время и деньги!"
3770,Александра,Екатеринбург,2018-01-19,"Регулярно поступали предложения от банка ВТБ24 с целью рефинансирования. Я неоднократно благодарила и отказывалась от данного предложения в связи с тем, что меня не устраивала страховка. В середине января 2018 года мне позвонили из банка и озвучили предложение одобренной суммы кредита размером 375000 рублей на 60 месяцев под 13.5 процентов. Я как обычно вежливо отказалась ссылаясь на то, что предложение мне интересно, но страховка меня по прежнему не устраивает. На что сотрудник банка ВТБ24 мне сказал, что я могу отказаться от страховки и данное предложение останется с прежними условиями. Сотрудник рассчитал мне ежемесячный платеж в размере 8500 рублей на 60 месяцев и предложил приехать в любое отделение банка ВТБ24 в Екатеринбурге. Я еще раз переспросила, чтобы все-таки удостовериться правильно ли я его поняла, на что мне дали утвердительный ответ. Я так понимаю, что все разговоры записываются, все можно прослушать. 19.01.2018 я решила оформить данное предложение и приехала в филиал банка,где оформлен кредит, по адресу Амундсена. Я спросила у сотрудника банка могу ли я взять бОльшую сумму на тех же условиях. Но тут-то и выяснилось, что предыдущее предложение как и последующее определяет собой страховку-финансовую защиту в размере 99000 рублей. Я объяснила сотруднику банка, что предложение было сделано не на этих условиях. Внятного ответа на данную ситуацию я не услышала, взамен мне было предложено сделать запрос на другое предложение под 15 процентов!!!и с рассмотрением запроса на минимальную страховку!!! Я сказала, что обязательно напишу жалобу на звонившего мне сотрудника банка ВТБ24 и ушла. Это просто нечестно и не красиво так поступать со своими клиентами! Потратила свое время на дорогу, да еще и в минус 20 градусов и в результате разочаровали! Неужели в каждом филиале разная информация? Не получилось оставить отзыв на сайте банка, там бы я обязательно попросила больше меня не беспокоить с сомнительными предложениями!"
6098,Александра,Белореченск,2022-09-17,"Ужасное обслуживание как и сам банк, не могут разобраться в чем проблема! У меня произошла такая ситуация, я совершила покупку на валберисе на 11600 оформила возврат и в тот же день мне деньги вернули, но на следующий день деньги исчезли, не вб не сбер не знают куда делись мои деньги, в опирациях списаний нет и денег тоже нет, то есть у меня Сбербанк незаконным под судным делом украли деньги"
3473,Наталья,Йошкар-Ола,2020-07-01,"Сегодня 01.07.2020 года на мой счет, открытый в банке ВТБ 24 были зачислены денежные средства в размере 10 000 (Десять тысяч) рублей. Назначение платежа указано - Доп. единовремнная выплата лицам имеющим детей от 0 до 16 лет.

Чудесным образом эти денежные средства, в течении часа, были списаны в счет погашения задолжности. 

С  1 июня вступили в силу новые поправки в Закон об исполнительном производстве. Вводится специальная маркировка видов дохода гражданина, которая позволит банкам отделить ""неприкосновенные доходы"" от подлежащих взысканию поступлений. Единовременная выплата детям от 0 до 16 лет считается «неприкосновенным доходом».

Так же с алиментов , поступивших на мою карту, 29.06.2020 г. банк по ИП судебных приставов списа два раза по 200 руб. 

Долго будет происходить этот беспредел?"
6690,Дмитрий,Москва,2020-11-09,"Истекал срок действия карты - не позвонили и не прислали смс с адресом отделения банка
Позвонил сам - прислали смс с адресом, по которому карты не было
В середине рабочего дня поехал в другое отделение - прождал минут 30
Карты выходят в совершенно рандомных отделениях, где я даже никогда не бывал.
Совет - заканчивается срок действия карты, меняйте банк и сюда не суйтесь, дыра дырой

Пост скриптум: и да, их голосовой помощник настойчиво не желает переправлять Ваш звонок оператору"
1697,Мария,Екатеринбург,2023-05-19,"Удобная рассрочка на выгодных условиях. Не берут комиссию за оплату квитанций, за школу и садики. Но бывали недочёты в работе. Например,  один раз переключила на раздел рассрочки, а снялись свои деньги (которые надо было потратить не у партнера). Также один раз почему-то не начислился кешбек у партнёра,хотя условия были выполнены. Техподдержка в обоих случаях не помогла. Но за исключением этого - все было всегда хорошо."
261,карапетян,Москва,2021-10-13,"Доброго времени суток! Обращаюсь к Вам с таким вопросом: в 2017 году я обращался в надзорные организации и на сайт СРАВНИ.РУ, дабы исключить свой номер телефона из базы «Бинбанка», который сейчас принадлежит ПАО БАНК «ФК ОТКРЫТИЕ». Сотрудники пообещали сделать это как можно скорее (прикладываю ссылку на обращение: https://www.sravni.ru/bank/binbank/otzyvy/228317/ ) и своё слово сдержали: звонки мне более не раздавались до недавнего времени.

Прошу повторно исключить мой номер телефона 8**** из информационной базы ПАО БАНК «ФК ОТКРЫТИЕ». С искомым человеком контакт я не поддерживаю уже больше 5 лет. Спасибо!"
702,Анатолий,Самара,2020-03-05,"Три года провожу все свои бизнес-платежи через Открытие. Качественное обслуживание, но я не об этом. Мне импонирует, что мой банк не равнодушен к тем, кто нуждается в помощи и внимании через благотворительные акции"
1407,Людмила,Санкт-Петербург,2023-06-12,"Нравится банк и приложение, оперативность ответов технических специалистов! Понятная система кэшбэка!"
2063,Ульяна,Брянск,2022-10-07,"Нужна была выписка по карте для получения визы при чем срочно потому что я профукала все дедлайны. Банк быстренько все сделали, отдала доки.
Спасибо!"
5102,Оксана,Волгоград,2023-06-11,"Очень приятно иметь дело с сотрудниками банка: это всегда высочайший профессионализм и личная заинтересованность в конечном результате клиента!
Сотрудник Диана не просто решила вопрос с блокировкой и перевыпуском карты, определением ближайшей даты доставки, но и собрала базу данных об этих, конкретно, мошенниках, чтобы впредь оградить клиентов от их действий! 
Вот это уровень профессионализма!"
1531,Евгения,Челябинск,2023-06-01,"Спасибо конечно что этот банк одобрил ипотеку , но проценты конечно большие .

И очень жалко что в этом банке не делают рефинансирование, и не дают разрешение выделить долю , в других банках есть такое . поэтому в дальнейшем планирую поменять банк, хотя очень не хочется этого делать ."
3221,Евгения,Москва,2021-07-20,"При получении зарплатной карты навязывают кредитную от которой ""нельзя отказаться, потому что она критично обязательна и условия такие  а заблокировать можно только через три месяца"". Именно так втюхали кредитную карту и теперь придется дополнительно посещать банк для ее блокировки. Отвратительные сотрудники с неимоверно долгим обслуживанием."
1982,Владислав,Москва,2022-12-05,"Спасибо за хорошее приложение которым приятно и удобно пользоваться. Это вообще главный элемент дистанционного обслуживания. Бывает что вроде как онлайн банк, а приложеие жуткое и тормозящее. У газпромбанка такого нет + есть много фишечек приложений которых нет ни у кого."
1670,Оксана,Рубцовск,2023-05-22,"Много лет являюсь клиентом Совкомбанка. Неоднократно обращалась в офисы банка в разных городах.

Хочу отметить высокую компетентность сотрудников, готовность всегда придти на помощь. Благодаря наличию большого количества удобно расположенных филиалов и комфортному графику работы, обслуживание в офисе не отнимает много времени.

Из плюсов, также хотелось бы отметить работу мобильного приложения, позволяющего полноценно пользоваться продуктами банка, не выходя из дома."
4048,Виктория,Красноярск,2023-07-15,"Очень срочно нужны были деньги , оставила заявку на сайте  альфа банка одобрил нужную сумму и очень быстро все привезли.Есть кэшбеки выгодные и прочие условия.
Я всем рекомендую этот банк , выгодные условия,проценты и понимающие сотрудники"
1778,Professor,Чебоксары,2023-05-16,"Являюсь клиентом банка сравнительно недавно, но уже успел сагетирвать на переход в Совкомбанк и коллегу по работе. Жаль, что забыл отправить ему персональную ссылку, чтобы он прошёл по приглашению и я получил 500 рублей. Но, ничего, на примете уже есть второй знакомый.
Что могу сказать: ощутил разницу в сравнении с предыдущим банком сразу: в первый же месяц получил отличный кэшбэк. Покупаю товары в расссрочку и без процентов. Буквально сегодня позвонил на Горячую Линию, на звонки ответили быстро. Ещё раз переуточнил, как правильно пригласить друга. Оператор с притяным голосом, терпеливый и вежливый. Всё устраивает пока, думаю, дальше будет ещё интереснее."
5943,Vika,Россия,2023-01-29,"Кроме большого выбора и индивидуального подхода к клиентам хочется отметить большой выбор услуг, который можно подключить к РКО выгодно. Менеджер Валерия предложила индивидуальные условия по страхованию бизнеса и установки терминала от которых я просто не смогла отказаться. За обслуживание могла бы поставить все десять звезд, если бы они были! А вот над интерфейсом сайта и приложения поработать еще немного можно, тогда будет вообе не придраться!"
6535,Елена,Киров,2021-05-19,"Хотела сохранить деньги и открыть счёт, но мне так сладко напели в уши про инвестиции, что я поверила. Итог за 6 месяцев минус 3000, заработать не получится, это точно. Закрыть инвестиционный счёт можно только через 1,5 года. Молюсь об одном, чтоб больше не потерять. "
3464,Маргарита,Москва,2020-07-18,"Я уже писала отзыв как банк обманул меня с процентами. Разорвала в марте с банком все взаимоотношения (как мне думалось). 16 июля меня опять подключают к смс оповещениям! Пошла в банк выяснять причину. Врали оба: менеджер Г-в, что не давал мне совета, глава отделения Павел (даже фамилию не назвал), что звонил мне по телефону! С улыбочкой довел меня почти до истерики! А ответить на простой вопрос почему меня опять подключили к услуге так и не удосужился. Это просто отвратительный банк. Люди бегите от них. Профессиолизмом здесь даже не пахнет. Может быть теперь отстанут от меня."
1614,Екатерина,Ярославль,2023-05-26,"Удобное приложение. Доступна вся необходимая информация. Рассрочка поткарте. Удобно оплачивать как телефон, так и банковские платежи."
5185,Алексей,Нижний Новгород,2023-06-02,"Имею опыт использования картами различных банков. Карту Black от Тинькофф считаю лучшим выбором. Кэшбэк дается на выбор по категориям, удобно подгадывать траты, чтобы получить максимальную выгоду. Кто будет пользоваться, берите подписку Pro, она сразу окупится и тратить станет еще приятней.
Очень нравится мобильное приложение, считаю, самое лучшее. Особенно нравится раздел Город, где не переходя на сторонние сайты можно оплатить кино, концерты и получить бонусы, а также оплачивать Топливо не выходя из машины.
Также хочу отметить, что никогда не было проблем с Поддержкой, чат всегда активен, а менеджеры готовы ответить на любые вопросы. Иногда приходится ждать, но мне обычно не требуется срочность.
Желаю команде Тинькоф двигаться в направлении улучшения сервисных услуг и оставаться более гибким по сравнению с другими банками!"
979,Лукянова,Москва,2023-07-13,"Я хотела бы выразить положительный отзыв о карте рассрочки Халва от Совком банка, которую я использовала для оплаты лечения зубов. Данная карта оказала мне огромную помощь, так как у меня не было достаточно денег, чтобы оплатить все расходы моментально.

Преимущества использования этой карты были очевидными. Во-первых, процесс оформления карты был быстрым и удобным. Мне потребовалось всего несколько минут, чтобы заполнить заявку на сайте банка. В течение нескольких часов мне пришло SMS-сообщение с подтверждением о выдаче карты. К тому же, я получила возможность самостоятельно выбрать лимит кредита и срок погашения.

Во-вторых, карта рассрочки Халва от Совком банка предоставила мне гибкость в оплате зубного лечения. Я смогла разбить сумму на несколько равных платежей, что позволило мне эффективно планировать семейный бюджет и справиться с финансовыми обязательствами. Более того, я не платила проценты за пользование карточкой в период рассрочки, что было еще одним значимым преимуществом.

И, наконец, самое важное – карта помогла мне получить необходимое лечение без лишних задержек. Я смогла обратиться к стоматологу практически немедленно и решить проблемы со здоровьем полностью благодаря использованию карты рассрочки. Это была настоящая находка для меня, и я рекомендую Халва от Совком банка всем, кто сталкивается с нехваткой средств, но нуждается в срочном лечении."
5361,sstan00@mail.ru,Москва,2023-05-23,"Обратилась 23 мая 2023 на линию поддержки банка Тинькоф за множеством разъяснений, как новый клиент банка. В интернете и приложении ответы на вопросы найти не удавалось. На линии общалась с Валерией 396428, осталось оченть приятное впечатление от проведенных в общении минут. На все вопросы Валерия отвечала либо сразу, на удобной для восприятия скорости, либо недолго перепроверяла информацию, что мною также расценивается как уважением к клиенту. Валерия сразу поняла специфику моих ожиданий от банка и адаптировала свои ответы под неё. Вежливый, внимательный, компетентный менеджер. Это значительно увеличило мою лояльность к банку в целом. Благодарю."
