,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
43,2,0,1,1,Not Selected,0,Room_Type 1,41,6,27,Online,0,0,0,98.1,1,Canceled
44,2,0,0,4,Meal Plan 1,0,Room_Type 4,55,11,18,Offline,0,0,0,60.0,1,Not_Canceled
45,2,0,0,3,Meal Plan 1,0,Room_Type 1,146,12,29,Offline,0,0,0,75.0,0,Not_Canceled
46,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,11,20,Offline,0,0,0,73.0,0,Not_Canceled
47,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,4,6,Offline,0,0,0,104.0,0,Not_Canceled
48,2,0,0,4,Not Selected,0,Room_Type 1,57,11,1,Online,0,0,0,79.2,1,Not_Canceled
49,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,12,29,Online,0,0,0,125.8,2,Not_Canceled
50,1,0,2,5,Not Selected,0,Room_Type 1,124,5,30,Online,0,0,0,87.95,0,Not_Canceled
51,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,4,22,Online,0,0,0,106.0,0,Canceled
52,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,5,16,Online,0,0,0,136.67,1,Not_Canceled
53,2,0,0,4,Meal Plan 1,0,Room_Type 4,51,11,11,Offline,0,0,0,60.0,1,Not_Canceled
54,2,0,1,0,Not Selected,0,Room_Type 1,13,6,13,Online,0,0,0,89.0,2,Not_Canceled
55,2,0,1,3,Meal Plan 1,0,Room_Type 1,100,5,19,Online,0,0,0,136.0,1,Not_Canceled
56,2,0,0,1,Not Selected,0,Room_Type 1,139,7,28,Online,0,0,0,94.5,1,Not_Canceled
57,2,0,1,2,Meal Plan 1,0,Room_Type 1,117,12,26,Online,0,0,0,93.6,2,Not_Canceled
58,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,4,20,Online,0,0,0,120.6,0,Canceled
59,2,0,0,3,Meal Plan 1,0,Room_Type 4,86,4,6,Online,0,0,0,99.3,1,Not_Canceled
60,2,2,0,1,Meal Plan 1,1,Room_Type 6,2,9,2,Online,0,0,0,258.0,1,Not_Canceled
61,1,0,0,3,Meal Plan 1,0,Room_Type 4,19,5,3,Online,0,0,0,120.12,2,Not_Canceled
62,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,6,24,Offline,0,0,0,95.0,0,Not_Canceled
63,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,9,10,Complementary,0,0,0,0.0,1,Not_Canceled
64,2,0,2,1,Meal Plan 1,0,Room_Type 1,86,12,18,Offline,0,0,0,75.0,0,Not_Canceled
65,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,10,5,Online,0,0,0,157.5,2,Not_Canceled
66,2,0,0,2,Meal Plan 1,0,Room_Type 4,179,6,3,Online,0,0,0,97.7,1,Not_Canceled
67,2,0,0,2,Meal Plan 1,0,Room_Type 4,26,4,15,Online,0,0,0,142.0,0,Canceled
68,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,4,6,Offline,0,0,0,80.0,0,Not_Canceled
69,2,0,1,2,Meal Plan 1,0,Room_Type 1,74,4,25,Online,0,0,0,85.5,1,Not_Canceled
70,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,8,25,Offline,0,0,0,100.0,0,Not_Canceled
71,2,0,1,0,Not Selected,0,Room_Type 1,34,11,14,Online,0,0,0,88.0,2,Not_Canceled
72,2,0,1,1,Meal Plan 1,1,Room_Type 1,30,8,29,Online,0,0,0,122.85,1,Not_Canceled
73,2,0,0,2,Meal Plan 1,0,Room_Type 1,177,6,3,Online,0,0,0,100.0,0,Canceled
74,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,10,25,Offline,0,0,0,75.0,0,Not_Canceled
75,2,0,1,4,Meal Plan 1,0,Room_Type 4,18,3,9,Online,0,0,0,116.8,1,Not_Canceled
76,3,0,1,1,Meal Plan 1,0,Room_Type 4,267,12,31,Online,0,0,0,121.5,0,Not_Canceled
77,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,6,27,Online,0,0,0,111.9,1,Not_Canceled
78,3,0,2,5,Meal Plan 1,0,Room_Type 4,155,6,28,Online,0,0,0,121.55,2,Canceled
79,2,0,0,5,Meal Plan 1,0,Room_Type 1,46,3,29,Offline,0,0,0,75.0,1,Not_Canceled
80,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,4,1,Online,0,0,0,159.3,0,Canceled
81,2,0,0,5,Meal Plan 1,0,Room_Type 4,128,10,11,Online,0,0,0,132.3,0,Canceled
82,2,0,2,0,Not Selected,0,Room_Type 1,20,12,25,Online,0,0,0,88.0,2,Not_Canceled
83,2,0,1,4,Meal Plan 1,0,Room_Type 4,40,3,14,Online,0,0,0,98.82,0,Not_Canceled
84,2,0,1,2,Meal Plan 1,1,Room_Type 4,46,3,4,Online,0,0,0,98.3,1,Not_Canceled
85,1,0,1,0,Meal Plan 1,0,Room_Type 1,1,10,17,Online,0,0,0,150.0,2,Not_Canceled
86,2,0,2,3,Not Selected,0,Room_Type 1,196,9,4,Online,0,0,0,96.05,1,Not_Canceled
87,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,6,15,Online,0,0,0,130.0,0,Canceled
88,2,0,0,1,Not Selected,0,Room_Type 1,17,12,10,Online,1,0,5,95.0,0,Not_Canceled
89,2,0,0,3,Meal Plan 1,0,Room_Type 5,146,8,9,Offline,0,0,0,113.56,0,Not_Canceled
90,2,0,1,3,Not Selected,0,Room_Type 1,110,5,5,Online,0,0,0,101.58,1,Not_Canceled
91,2,0,1,2,Meal Plan 1,1,Room_Type 1,68,3,18,Online,0,0,0,105.3,0,Not_Canceled
92,2,0,2,1,Meal Plan 1,0,Room_Type 4,73,4,9,Online,0,0,0,115.8,1,Not_Canceled
93,2,0,0,1,Meal Plan 1,0,Room_Type 4,92,5,19,Online,0,0,0,149.4,1,Not_Canceled
94,2,0,2,5,Meal Plan 1,0,Room_Type 1,171,8,30,Online,0,0,0,111.59,0,Canceled
95,2,1,0,2,Meal Plan 1,1,Room_Type 1,134,8,4,Online,0,0,0,130.5,2,Not_Canceled
96,2,0,0,2,Meal Plan 2,0,Room_Type 1,320,8,18,Online,0,0,0,115.0,1,Canceled
97,2,0,0,4,Meal Plan 1,0,Room_Type 1,118,4,13,Online,0,0,0,90.95,1,Not_Canceled
98,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,11,17,Online,0,0,0,76.08,1,Not_Canceled
99,2,2,1,3,Meal Plan 1,0,Room_Type 6,30,12,22,Online,0,0,0,156.9,0,Not_Canceled
100,2,0,1,0,Not Selected,0,Room_Type 1,189,10,23,Online,0,0,0,85.5,2,Not_Canceled
101,3,0,1,2,Meal Plan 1,0,Room_Type 4,55,5,13,Online,0,0,0,159.3,2,Not_Canceled
102,1,0,0,4,Meal Plan 1,0,Room_Type 1,55,12,13,Online,0,0,0,74.8,2,Not_Canceled
103,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,10,31,Online,0,0,0,95.0,1,Not_Canceled
104,2,0,0,3,Meal Plan 1,0,Room_Type 1,24,10,8,Online,0,0,0,107.0,1,Not_Canceled
105,2,0,0,3,Meal Plan 1,0,Room_Type 1,8,2,16,Offline,0,0,0,64.0,0,Not_Canceled
106,2,0,1,4,Meal Plan 1,1,Room_Type 1,10,11,2,Online,0,0,0,82.95,0,Not_Canceled
107,2,0,1,3,Meal Plan 1,0,Room_Type 4,0,9,21,Online,0,0,0,155.0,1,Not_Canceled
108,2,0,0,1,Not Selected,0,Room_Type 1,12,6,30,Online,0,0,0,101.68,1,Not_Canceled
109,2,0,2,1,Meal Plan 1,0,Room_Type 1,32,9,5,Online,0,0,0,94.5,3,Not_Canceled
110,2,0,0,2,Meal Plan 1,0,Room_Type 1,182,9,30,Online,0,0,0,117.9,2,Canceled
111,2,0,1,0,Not Selected,0,Room_Type 1,1,6,27,Online,0,0,0,127.0,1,Not_Canceled
112,2,0,0,3,Not Selected,0,Room_Type 1,122,6,16,Online,0,0,0,116.1,2,Not_Canceled
113,2,0,2,3,Meal Plan 1,0,Room_Type 1,40,6,30,Online,0,0,0,117.9,1,Not_Canceled
114,2,2,2,2,Meal Plan 1,0,Room_Type 2,116,6,26,Online,0,0,0,184.24,1,Canceled
115,3,0,2,2,Meal Plan 1,1,Room_Type 4,123,8,13,Online,0,0,0,155.7,1,Not_Canceled
116,3,0,2,5,Meal Plan 1,0,Room_Type 4,40,4,22,Online,0,0,0,135.76,0,Canceled
117,2,1,2,5,Meal Plan 1,0,Room_Type 1,105,11,12,Online,0,0,0,102.83,3,Not_Canceled
118,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,4,29,Online,0,0,0,65.0,0,Canceled
119,2,0,2,3,Meal Plan 1,0,Room_Type 1,2,11,14,Online,0,0,0,103.0,1,Not_Canceled
120,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,9,1,Online,0,0,0,106.2,1,Canceled
121,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,9,16,Offline,0,0,0,58.5,0,Not_Canceled
122,2,0,1,3,Meal Plan 1,0,Room_Type 1,68,3,10,Online,0,0,0,73.95,0,Canceled
123,2,0,0,3,Meal Plan 1,0,Room_Type 1,148,5,5,Online,0,0,0,105.3,0,Not_Canceled
124,3,0,2,0,Meal Plan 1,0,Room_Type 4,68,4,24,Online,0,0,0,133.2,2,Not_Canceled
125,2,0,0,2,Meal Plan 1,0,Room_Type 1,30,3,30,Offline,0,0,0,85.5,0,Not_Canceled
126,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,11,3,Online,0,0,0,112.0,1,Canceled
127,2,2,0,2,Meal Plan 1,0,Room_Type 6,110,10,14,Online,0,0,0,190.8,0,Canceled
128,1,0,2,3,Meal Plan 1,0,Room_Type 1,117,6,5,Offline,0,0,0,110.0,0,Not_Canceled
129,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,7,13,Online,0,0,0,91.48,1,Not_Canceled
130,2,0,0,2,Not Selected,0,Room_Type 1,1,10,20,Online,0,0,0,135.0,2,Not_Canceled
131,1,0,1,2,Meal Plan 1,0,Room_Type 1,25,10,17,Online,0,0,0,129.0,2,Not_Canceled
132,2,0,2,4,Not Selected,0,Room_Type 1,289,12,28,Online,0,0,0,70.55,2,Canceled
133,2,0,1,4,Meal Plan 1,0,Room_Type 4,28,10,19,Offline,0,0,0,75.0,0,Not_Canceled
134,1,0,0,4,Not Selected,0,Room_Type 1,80,3,29,Online,0,0,0,72.25,0,Not_Canceled
135,2,0,0,1,Meal Plan 1,0,Room_Type 4,11,10,9,Online,0,0,0,155.0,2,Not_Canceled
136,2,1,1,0,Meal Plan 1,0,Room_Type 1,162,7,25,Online,0,0,0,121.5,2,Canceled
137,2,0,2,5,Meal Plan 1,0,Room_Type 1,155,6,28,Online,0,0,0,90.95,2,Not_Canceled
138,1,0,2,2,Meal Plan 1,0,Room_Type 1,82,5,22,Online,0,0,0,109.65,0,Not_Canceled
139,3,0,2,4,Meal Plan 1,0,Room_Type 4,27,4,15,Online,0,0,0,142.72,0,Canceled
140,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,5,9,Offline,0,0,0,90.0,0,Not_Canceled
141,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,6,17,Online,0,0,0,75.0,0,Canceled
142,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,11,18,Online,0,0,0,111.0,1,Canceled
143,2,0,2,2,Meal Plan 1,0,Room_Type 1,266,10,30,Online,0,0,0,86.7,2,Not_Canceled
144,2,0,1,0,Meal Plan 1,0,Room_Type 1,39,3,28,Online,0,0,0,117.9,1,Not_Canceled
145,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,6,1,Complementary,1,3,5,0.0,1,Not_Canceled
146,2,0,0,4,Not Selected,0,Room_Type 1,112,5,4,Online,0,0,0,101.58,1,Not_Canceled
147,2,0,1,2,Not Selected,0,Room_Type 1,88,4,8,Online,0,0,0,58.9,1,Not_Canceled
148,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,6,8,Offline,0,0,0,120.0,0,Not_Canceled
149,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,4,7,Online,0,0,0,107.1,0,Canceled
150,2,0,1,1,Meal Plan 1,0,Room_Type 1,80,5,2,Online,0,0,0,126.9,1,Not_Canceled
151,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,9,29,Online,0,0,0,139.5,2,Canceled
152,2,0,1,3,Not Selected,0,Room_Type 1,69,4,4,Online,0,0,0,80.75,1,Not_Canceled
153,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,7,17,Online,0,0,0,109.0,0,Canceled
154,2,0,0,1,Meal Plan 2,0,Room_Type 1,55,4,6,Offline,0,0,0,104.0,0,Not_Canceled
155,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,11,1,Corporate,1,1,5,65.0,1,Not_Canceled
156,2,0,0,3,Meal Plan 1,0,Room_Type 4,97,5,24,Online,0,0,0,140.4,0,Not_Canceled
157,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2,17,Offline,0,0,0,75.0,0,Not_Canceled
158,2,0,0,1,Not Selected,0,Room_Type 1,31,4,14,Online,0,0,0,94.5,0,Canceled
159,2,0,1,0,Not Selected,0,Room_Type 1,0,6,5,Online,0,0,0,109.0,0,Not_Canceled
160,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,11,12,Online,0,0,0,105.0,2,Not_Canceled
161,2,0,2,2,Meal Plan 1,0,Room_Type 4,86,4,17,Online,0,0,0,107.95,1,Not_Canceled
162,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,10,7,Online,0,0,0,215.6,1,Not_Canceled
163,2,0,1,1,Not Selected,0,Room_Type 1,197,8,1,Online,0,0,0,85.5,1,Not_Canceled
164,2,0,0,2,Meal Plan 1,0,Room_Type 1,143,7,12,Online,0,0,0,105.3,2,Not_Canceled
165,1,0,2,1,Meal Plan 2,0,Room_Type 1,23,1,2,Online,0,0,0,1.0,0,Not_Canceled
166,2,0,0,2,Meal Plan 1,0,Room_Type 4,8,6,15,Online,0,0,0,156.0,0,Canceled
167,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,11,16,Online,0,0,0,73.15,1,Not_Canceled
168,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,9,19,Online,0,0,0,110.0,0,Canceled
169,2,1,1,0,Not Selected,0,Room_Type 1,11,9,13,Online,0,0,0,87.4,1,Not_Canceled
170,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,9,15,Online,0,0,0,120.0,0,Canceled
171,2,0,1,2,Not Selected,0,Room_Type 1,185,12,16,Online,0,0,0,79.2,0,Canceled
172,2,0,1,3,Meal Plan 1,0,Room_Type 1,160,6,30,Online,0,0,0,90.95,1,Not_Canceled
173,2,0,0,4,Meal Plan 1,0,Room_Type 1,104,10,18,Online,0,0,0,91.48,1,Not_Canceled
174,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,11,5,Online,0,0,0,150.0,1,Canceled
175,2,0,0,1,Not Selected,0,Room_Type 1,2,3,22,Online,0,0,0,89.0,0,Not_Canceled
176,2,0,1,4,Not Selected,0,Room_Type 1,14,8,17,Online,0,0,0,91.43,1,Not_Canceled
177,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,5,20,Offline,0,0,0,140.0,0,Not_Canceled
178,1,1,2,5,Not Selected,0,Room_Type 1,37,10,24,Online,0,0,0,87.78,0,Not_Canceled
179,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,7,21,Online,0,0,0,115.0,0,Canceled
180,2,0,0,3,Meal Plan 1,0,Room_Type 1,11,9,9,Online,0,0,0,80.85,1,Not_Canceled
181,2,0,1,3,Meal Plan 1,0,Room_Type 1,86,3,31,Online,0,0,0,82.45,1,Not_Canceled
182,2,0,0,1,Not Selected,0,Room_Type 1,109,10,11,Online,0,0,0,108.0,0,Canceled
183,2,0,1,1,Meal Plan 1,0,Room_Type 4,72,4,2,Online,0,0,0,96.3,1,Not_Canceled
184,2,0,1,5,Meal Plan 1,0,Room_Type 1,196,8,22,Online,0,0,0,99.45,0,Canceled
185,2,0,0,2,Meal Plan 1,0,Room_Type 4,56,5,13,Online,0,0,0,140.4,1,Not_Canceled
186,2,0,1,3,Meal Plan 1,0,Room_Type 1,189,8,8,Offline,0,0,0,72.25,0,Not_Canceled
187,2,0,1,4,Meal Plan 1,0,Room_Type 4,126,8,15,Online,0,0,0,126.0,0,Not_Canceled
188,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,8,19,Online,0,0,0,78.0,0,Canceled
189,1,0,2,2,Meal Plan 1,0,Room_Type 4,81,11,6,Online,0,0,0,146.6,1,Not_Canceled
190,2,0,1,2,Meal Plan 1,0,Room_Type 1,54,10,10,Online,0,0,0,118.8,0,Canceled
191,1,0,0,1,Meal Plan 1,0,Room_Type 1,15,10,6,Online,0,0,0,145.0,0,Canceled
192,2,0,0,4,Meal Plan 1,0,Room_Type 1,86,4,6,Online,0,0,0,84.58,0,Canceled
193,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,3,25,Online,0,0,0,130.0,0,Canceled
194,2,0,4,10,Meal Plan 1,0,Room_Type 4,147,8,3,Online,0,0,0,118.88,1,Canceled
195,2,0,1,2,Meal Plan 1,0,Room_Type 1,92,5,30,Offline,0,0,0,101.52,0,Not_Canceled
196,2,0,0,1,Meal Plan 1,0,Room_Type 1,87,9,11,Corporate,0,0,0,100.0,0,Canceled
197,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,3,20,Offline,0,0,0,58.0,0,Not_Canceled
198,2,0,0,4,Meal Plan 1,0,Room_Type 1,127,3,23,Offline,0,0,0,61.5,2,Not_Canceled
199,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,9,26,Online,0,0,0,107.0,0,Canceled
200,2,0,1,4,Not Selected,0,Room_Type 1,156,8,24,Online,0,0,0,87.3,1,Not_Canceled
201,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,7,16,Online,0,0,0,76.5,1,Canceled
202,2,0,2,2,Not Selected,0,Room_Type 1,211,12,16,Online,0,0,0,63.75,0,Canceled
203,2,0,1,2,Meal Plan 1,0,Room_Type 1,273,5,13,Online,0,0,0,95.0,0,Canceled
204,2,0,2,1,Meal Plan 1,0,Room_Type 1,58,11,19,Offline,0,0,0,75.0,1,Not_Canceled
205,2,0,0,3,Meal Plan 1,0,Room_Type 1,433,9,8,Online,0,0,0,70.0,0,Canceled
206,2,0,1,3,Meal Plan 1,0,Room_Type 1,111,5,2,Online,0,0,0,101.58,1,Not_Canceled
207,2,0,2,3,Meal Plan 1,0,Room_Type 1,34,8,21,Offline,0,0,0,85.0,0,Not_Canceled
208,2,0,2,4,Meal Plan 1,0,Room_Type 1,17,12,3,Online,0,0,0,98.39,0,Not_Canceled
209,1,0,0,0,Meal Plan 1,0,Room_Type 1,4,2,27,Complementary,0,0,0,0.0,1,Not_Canceled
210,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,9,22,Online,0,0,0,106.07,1,Not_Canceled
211,2,0,1,1,Meal Plan 1,0,Room_Type 1,32,7,18,Offline,0,0,0,105.0,1,Not_Canceled
212,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,9,22,Online,0,0,0,145.0,2,Not_Canceled
213,3,0,2,1,Meal Plan 1,0,Room_Type 1,195,8,13,Online,0,0,0,106.03,1,Canceled
214,2,0,2,2,Meal Plan 1,0,Room_Type 1,119,8,13,Online,0,0,0,114.3,1,Not_Canceled
215,1,0,1,1,Not Selected,0,Room_Type 1,13,12,5,Online,0,0,0,88.0,0,Not_Canceled
216,2,0,0,2,Meal Plan 1,0,Room_Type 1,59,10,15,Online,0,0,0,89.25,2,Not_Canceled
217,2,1,2,5,Meal Plan 1,0,Room_Type 4,78,3,20,Online,0,0,0,86.32,1,Not_Canceled
218,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,10,13,Offline,0,0,0,90.0,1,Not_Canceled
219,2,0,2,5,Meal Plan 1,0,Room_Type 1,103,8,22,Online,0,0,0,55.96,0,Not_Canceled
220,1,0,0,2,Not Selected,0,Room_Type 1,0,6,8,Online,0,0,0,109.0,1,Not_Canceled
221,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,3,1,Offline,0,0,0,86.0,0,Not_Canceled
222,2,0,1,5,Meal Plan 1,0,Room_Type 1,56,9,5,Online,0,0,0,118.95,0,Not_Canceled
223,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,6,10,Offline,0,0,0,130.0,1,Not_Canceled
224,2,0,1,3,Not Selected,0,Room_Type 1,70,4,14,Online,0,0,0,90.56,1,Not_Canceled
225,2,0,0,2,Meal Plan 1,0,Room_Type 1,76,4,1,Online,0,0,0,87.3,1,Not_Canceled
226,2,2,2,2,Meal Plan 1,0,Room_Type 6,144,5,27,Online,0,0,0,177.65,1,Canceled
227,1,2,2,2,Meal Plan 1,0,Room_Type 6,4,9,19,Online,0,0,0,200.75,2,Not_Canceled
228,2,1,0,2,Meal Plan 1,0,Room_Type 1,15,3,18,Online,0,0,0,127.0,1,Not_Canceled
229,1,0,1,2,Meal Plan 1,0,Room_Type 1,32,2,5,Online,0,0,0,72.9,0,Canceled
230,3,0,1,1,Meal Plan 1,0,Room_Type 4,49,5,7,Online,0,0,0,159.3,0,Canceled
231,2,1,1,3,Meal Plan 1,0,Room_Type 1,77,5,12,Online,0,0,0,135.15,1,Not_Canceled
232,1,0,0,2,Meal Plan 1,0,Room_Type 1,22,10,28,Offline,0,0,0,90.0,0,Not_Canceled
233,2,0,1,0,Not Selected,0,Room_Type 1,0,10,18,Online,0,0,0,114.0,0,Not_Canceled
234,2,1,0,1,Meal Plan 1,1,Room_Type 1,58,6,21,Online,0,0,0,125.1,1,Not_Canceled
235,2,0,2,6,Not Selected,0,Room_Type 1,4,8,14,Online,0,0,0,95.13,1,Not_Canceled
236,2,0,0,2,Meal Plan 1,0,Room_Type 5,117,4,29,Online,0,0,0,105.84,0,Canceled
237,2,0,1,3,Meal Plan 1,0,Room_Type 1,36,12,26,Online,0,0,0,102.0,0,Canceled
238,2,0,2,2,Not Selected,0,Room_Type 1,35,12,2,Online,0,0,0,74.8,2,Not_Canceled
239,2,0,1,0,Not Selected,0,Room_Type 1,31,4,24,Online,0,0,0,94.5,0,Canceled
240,2,0,2,4,Not Selected,0,Room_Type 1,79,6,16,Online,0,0,0,120.6,0,Not_Canceled
