,time,time_type,square,rooms,floor,max_floor,price
100,1,ped,30.0,апартаменты-студия,16,24,70000
101,10,ped,20.0,квартира-студия,5,16,37000
102,11,ped,25.0,квартира-студия,7,16,35000
103,9,ped,23.2,квартира-студия,7,8,60000
104,1,ped,20.0,апартаменты-студия,20,25,66000
105,9,ped,70.0,квартира-студия,5,6,245000
106,1,ped,20.0,апартаменты-студия,5,25,63000
107,5,ped,32.0,квартира-студия,3,9,90000
108,28,bus,23.2,квартира-студия,13,25,30000
109,1,ped,30.0,апартаменты-студия,25,25,71490
110,1,ped,40.0,апартаменты-студия,10,85,252000
111,1,ped,28.0,апартаменты-студия,2,25,36000
112,5,ped,20.0,квартира-студия,1,22,30000
113,13,ped,17.0,квартира-студия,2,5,30000
114,21,bus,26.0,квартира-студия,2,20,20000
115,23,bus,25.0,квартира-студия,15,25,23000
116,10,ped,25.0,квартира-студия,10,15,35000
117,11,ped,20.0,квартира-студия,5,5,32500
118,19,bus,27.0,квартира-студия,13,25,28000
119,15,bus,21.0,квартира-студия,2,3,20000
120,24,bus,28.0,квартира-студия,9,14,23000
121,20,bus,26.0,квартира-студия,4,17,33000
122,11,ped,20.0,квартира-студия,14,25,38000
123,10,ped,28.0,квартира-студия,11,15,35500
124,10,bus,20.0,квартира-студия,16,25,25000
125,4,ped,32.3,апартаменты-студия,9,15,64990
126,6,ped,20.0,квартира-студия,15,17,35000
127,13,bus,27.0,квартира-студия,12,27,23000
128,10,ped,28.0,квартира-студия,2,9,33000
129,17,ped,12.0,квартира-студия,4,4,30000
130,15,bus,20.0,квартира-студия,21,24,27000
131,8,ped,20.0,квартира-студия,3,25,30000
132,11,ped,21.0,квартира-студия,5,14,33000
133,20,bus,16.2,квартира-студия,1,5,38000
134,20,bus,20.0,квартира-студия,11,26,26000
135,13,bus,24.0,квартира-студия,7,19,29000
136,6,ped,27.0,квартира-студия,21,25,31000
137,33,bus,31.3,квартира-студия,2,7,26000
138,18,bus,22.0,квартира-студия,8,9,27000
139,18,ped,32.0,квартира-студия,1,4,30000
140,22,ped,20.0,квартира-студия,20,22,30000
141,19,bus,27.0,квартира-студия,22,25,28000
142,18,ped,15.0,квартира-студия,4,5,26000
143,10,ped,38.0,квартира-студия,2,4,60000
144,22,ped,21.0,квартира-студия,20,22,30000
145,11,ped,40.0,квартира-студия,6,9,40000
146,9,ped,22.0,квартира-студия,14,18,46000
147,5,ped,32.0,квартира-студия,3,9,90000
148,20,bus,19.0,квартира-студия,15,23,31000
149,27,bus,25.0,квартира-студия,13,16,24000
150,24,ped,24.0,квартира-студия,4,17,33000
151,7,ped,28.0,квартира-студия,3,17,29000
152,15,bus,21.0,квартира-студия,3,3,20000
153,21,bus,24.0,квартира-студия,21,22,22500
154,44,bus,32.0,квартира-студия,1,2,25000
155,21,ped,27.0,квартира-студия,6,19,37000
156,10,ped,12.0,квартира-студия,1,2,23000
157,8,ped,27.0,квартира-студия,18,27,33000
158,18,bus,24.0,квартира-студия,4,12,25000
159,17,ped,19.0,квартира-студия,10,17,36000
160,18,ped,30.0,квартира-студия,10,25,37000
161,10,ped,15.0,квартира-студия,1,9,32000
162,14,ped,22.0,квартира-студия,10,15,32000
163,18,ped,21.7,квартира-студия,2,2,45000
164,36,bus,36.0,квартира-студия,3,4,24000
165,24,bus,22.0,квартира-студия,18,26,28000
166,23,bus,25.0,квартира-студия,3,25,29000
167,23,bus,27.0,квартира-студия,2,23,22000
168,1,ped,19.0,апартаменты-студия,20,24,47000
169,17,bus,28.0,квартира-студия,5,17,24000
170,11,ped,19.0,апартаменты-студия,3,6,40000
171,25,bus,27.0,квартира-студия,4,17,22000
172,1,ped,29.0,апартаменты-студия,22,25,66000
173,5,ped,32.0,квартира-студия,3,9,90000
174,15,bus,20.0,квартира-студия,14,15,28000
175,15,ped,25.0,квартира-студия,7,33,40000
176,27,bus,23.0,квартира-студия,8,17,35000
177,18,bus,20.0,квартира-студия,13,16,22000
178,10,ped,18.0,квартира-студия,2,9,33000
179,15,ped,21.0,квартира-студия,22,26,38000
180,13,ped,16.0,квартира-студия,6,6,40000
181,14,ped,25.0,квартира-студия,12,25,29900
182,18,ped,12.0,квартира-студия,9,9,35000
183,11,bus,17.0,квартира-студия,2,22,27000
184,8,ped,25.0,квартира-студия,11,25,37000
185,14,bus,22.0,квартира-студия,11,17,30000
186,19,bus,20.0,квартира-студия,8,17,28000
187,6,ped,20.0,квартира-студия,6,6,35000
188,14,ped,19.0,квартира-студия,1,5,32000
189,11,ped,42.0,квартира-студия,4,5,90000
190,15,ped,27.0,квартира-студия,6,14,30000
191,9,ped,22.0,квартира-студия,5,23,35000
192,3,ped,19.0,апартаменты-студия,6,16,35000
193,9,ped,20.0,квартира-студия,14,25,32000
194,18,ped,40.0,квартира-студия,5,6,45000
195,22,ped,22.0,квартира-студия,12,14,32000
196,16,bus,30.0,квартира-студия,19,20,35500
197,10,ped,42.0,апартаменты-студия,10,24,70200
198,9,ped,70.0,квартира-студия,5,6,245000
199,25,bus,22.0,квартира-студия,4,22,20000
200,14,bus,40.0,квартира-студия,12,15,47000
201,6,ped,28.0,квартира-студия,2,25,30000
202,14,ped,20.0,квартира-студия,5,5,40000
203,25,bus,31.0,квартира-студия,12,26,35000
204,15,bus,29.0,квартира-студия,2,17,32000
205,8,bus,26.0,квартира-студия,14,18,44000
206,22,bus,26.6,квартира-студия,7,25,30000
207,17,bus,21.3,квартира-студия,7,17,23000
208,7,ped,22.0,апартаменты-студия,8,15,54900
209,17,ped,14.0,квартира-студия,1,3,29000
210,17,bus,27.0,апартаменты-студия,26,35,33000
211,7,ped,16.0,квартира-студия,2,3,33000
212,4,ped,22.0,квартира-студия,1,9,35000
213,21,bus,26.5,квартира-студия,17,22,22000
214,21,bus,24.0,квартира-студия,13,25,30000
215,18,ped,19.0,квартира-студия,18,29,33000
216,11,ped,33.0,квартира-студия,1,9,50000
217,16,bus,20.0,квартира-студия,2,33,31000
218,16,ped,29.0,квартира-студия,9,24,71000
219,20,bus,14.0,квартира-студия,1,5,28000
220,4,ped,28.0,апартаменты-студия,16,28,48000
221,9,ped,63.0,апартаменты-студия,2,13,200000
222,9,bus,16.0,квартира-студия,2,6,38000
223,11,ped,18.2,апартаменты-студия,10,14,42000
224,12,ped,30.0,квартира-студия,8,34,66000
225,6,ped,36.0,квартира-студия,7,13,70000
226,3,ped,25.0,квартира-студия,9,22,30990
227,15,ped,33.0,квартира-студия,2,37,65000
228,15,ped,17.0,квартира-студия,10,18,30000
229,15,ped,32.0,апартаменты-студия,2,25,65000
230,20,ped,23.0,апартаменты-студия,9,23,45000
231,13,bus,25.0,квартира-студия,12,14,28000
232,22,ped,26.0,квартира-студия,12,15,35000
233,12,bus,18.0,квартира-студия,8,16,33000
234,12,bus,23.0,апартаменты-студия,6,25,48000
235,14,ped,21.0,квартира-студия,1,4,45000
236,15,bus,27.0,апартаменты-студия,25,28,45000
237,1,ped,20.0,апартаменты-студия,23,24,48000
238,9,ped,25.0,квартира-студия,12,19,35000
239,34,bus,15.0,квартира-студия,1,8,22500
240,9,ped,22.0,квартира-студия,4,5,27000
241,7,ped,33.0,квартира-студия,6,18,55000
242,12,ped,19.0,квартира-студия,6,28,35000
243,6,ped,13.0,квартира-студия,1,4,60000
244,9,ped,23.0,квартира-студия,15,15,38000
245,19,ped,35.0,квартира-студия,2,4,57000
246,9,ped,70.0,квартира-студия,5,11,250000
247,24,bus,34.0,квартира-студия,10,16,31000
248,12,ped,25.0,апартаменты-студия,2,7,66500
249,18,bus,29.0,квартира-студия,2,3,23000
250,9,ped,40.0,квартира-студия,15,26,65000
251,7,ped,19.8,апартаменты-студия,3,6,33000
252,4,ped,40.0,апартаменты-студия,54,79,135000
253,42,bus,30.0,квартира-студия,4,4,29000
254,10,ped,14.0,квартира-студия,1,3,25000
255,16,bus,17.0,апартаменты-студия,14,33,35000
256,6,ped,35.0,квартира-студия,3,12,40000
257,9,ped,31.0,квартира-студия,15,18,65000
258,16,ped,24.0,апартаменты-студия,3,21,43000
259,15,bus,38.0,квартира-студия,2,12,70000
260,15,ped,19.0,квартира-студия,3,5,44000
261,9,ped,30.0,квартира-студия,1,5,45000
262,10,bus,30.0,квартира-студия,12,25,40000
263,18,ped,20.0,квартира-студия,3,5,33000
264,16,ped,35.0,квартира-студия,5,9,49000
265,15,ped,27.0,квартира-студия,10,21,46000
266,15,ped,28.4,квартира-студия,1,5,46800
267,14,ped,17.3,апартаменты-студия,10,26,45000
268,4,ped,32.4,апартаменты-студия,11,15,64990
269,7,ped,24.4,квартира-студия,1,3,40000
270,11,ped,57.0,квартира-студия,1,10,25000
271,9,ped,63.0,апартаменты-студия,2,13,200000
272,15,ped,20.0,квартира-студия,21,32,44000
273,9,ped,70.0,квартира-студия,5,6,245000
274,10,ped,30.0,квартира-студия,2,5,50000
275,11,ped,32.0,апартаменты-студия,12,14,76000
276,7,ped,20.0,квартира-студия,14,15,38000
277,48,bus,19.0,квартира-студия,8,16,25000
278,17,bus,17.0,апартаменты-студия,23,32,30000
279,15,ped,20.0,квартира-студия,36,39,44000
280,22,ped,20.0,квартира-студия,12,21,40000
281,1,ped,20.0,апартаменты-студия,15,20,49000
282,15,ped,57.0,квартира-студия,6,11,100000
283,9,ped,35.0,квартира-студия,11,16,43000
284,7,ped,46.0,квартира-студия,3,14,65000
285,17,ped,42.0,квартира-студия,10,16,60000
286,10,bus,30.9,квартира-студия,15,25,15000
287,13,ped,39.0,квартира-студия,10,12,47000
288,12,ped,33.0,квартира-студия,1,5,40000
289,1,ped,29.0,апартаменты-студия,9,25,55000
290,4,ped,25.0,апартаменты-студия,2,12,50000
291,12,bus,25.0,квартира-студия,1,3,26000
292,12,ped,45.0,квартира-студия,6,25,48000
293,11,ped,28.0,квартира-студия,6,19,46000
294,12,ped,17.0,квартира-студия,1,10,40000
295,19,bus,25.0,квартира-студия,2,15,45000
296,9,bus,16.0,квартира-студия,2,6,38000
297,1,ped,60.0,квартира-студия,6,20,90000
298,5,ped,32.0,квартира-студия,3,9,90000
299,11,ped,42.0,квартира-студия,15,37,100000
300,16,ped,33.0,квартира-студия,16,17,51500
301,15,ped,18.5,квартира-студия,1,5,40000
302,9,ped,17.6,квартира-студия,2,5,32000
303,11,ped,36.0,квартира-студия,2,5,80000
304,20,ped,38.0,квартира-студия,8,11,40000
305,19,ped,24.0,апартаменты-студия,9,24,54000
306,19,ped,45.0,квартира-студия,2,5,48000
307,13,bus,44.0,квартира-студия,2,12,80000
308,5,ped,18.0,квартира-студия,5,9,46000
309,9,ped,25.0,квартира-студия,6,18,34000
310,17,ped,35.0,квартира-студия,2,5,65000
311,21,ped,32.0,квартира-студия,5,9,55000
312,9,ped,20.0,квартира-студия,1,9,55000
313,13,ped,30.0,апартаменты-студия,12,28,65000
314,10,ped,21.0,квартира-студия,12,25,32000
315,16,bus,30.0,апартаменты-студия,8,24,30000
316,18,ped,18.0,квартира-студия,7,9,39000
317,8,bus,56.0,квартира-студия,16,17,45000
318,15,ped,20.0,квартира-студия,22,25,42000
319,3,ped,53.0,квартира-студия,4,9,95000
320,5,ped,22.0,квартира-студия,8,10,36000
321,13,ped,30.5,апартаменты-студия,13,28,67400
322,9,ped,70.0,квартира-студия,5,6,245000
323,11,ped,20.0,квартира-студия,14,25,38000
324,4,ped,32.0,апартаменты-студия,5,15,75000
325,10,ped,25.0,апартаменты-студия,9,14,60000
326,10,ped,22.3,квартира-студия,4,28,55000
327,10,ped,21.0,квартира-студия,1,17,42000
328,13,ped,45.0,квартира-студия,9,9,58000
329,45,bus,33.0,квартира-студия,7,17,23000
330,9,ped,27.0,квартира-студия,6,23,55000
331,11,ped,35.0,квартира-студия,2,17,59000
332,8,ped,35.0,квартира-студия,5,5,65000
333,15,ped,35.0,квартира-студия,15,16,60000
334,34,bus,19.0,квартира-студия,1,8,25000
335,5,ped,18.5,квартира-студия,4,10,50000
336,11,ped,34.0,квартира-студия,3,9,65000
337,18,ped,36.0,квартира-студия,2,5,50000
338,9,ped,29.0,квартира-студия,1,3,80000
339,10,ped,19.6,квартира-студия,7,26,42000
340,9,ped,31.0,квартира-студия,2,3,85000
341,8,ped,52.0,квартира-студия,5,17,50000
342,17,ped,16.0,квартира-студия,2,3,33000
343,10,ped,20.0,квартира-студия,6,16,37000
344,8,ped,55.0,квартира-студия,5,8,75000
345,20,ped,52.0,апартаменты-студия,2,7,65000
346,9,bus,16.0,квартира-студия,2,6,38000
347,9,ped,63.0,апартаменты-студия,2,13,200000
348,5,ped,19.0,апартаменты-студия,9,10,60000
349,9,ped,18.0,квартира-студия,3,3,70000
350,6,ped,45.0,квартира-студия,16,19,60000
351,14,bus,25.0,квартира-студия,19,25,27000
352,6,ped,47.0,квартира-студия,3,5,70000
353,14,ped,50.0,квартира-студия,17,25,50000
354,25,bus,40.0,квартира-студия,21,45,45000
355,5,ped,52.0,апартаменты-студия,15,77,180000
356,4,ped,64.0,квартира-студия,5,5,185000
357,21,bus,20.0,квартира-студия,2,9,27000
358,13,ped,25.0,квартира-студия,18,25,55000
359,8,ped,44.0,квартира-студия,4,14,65000
360,9,ped,32.0,апартаменты-студия,8,16,65000
361,15,ped,38.0,апартаменты-студия,20,21,65000
362,13,ped,28.0,апартаменты-студия,8,20,85000
363,3,ped,33.0,квартира-студия,7,9,55000
364,10,ped,25.0,квартира-студия,17,17,40000
365,15,bus,20.0,квартира-студия,3,15,32000
366,12,ped,33.0,апартаменты-студия,4,6,75000
367,10,ped,32.0,квартира-студия,2,9,52000
368,15,ped,18.2,апартаменты-студия,2,4,40000
369,20,bus,19.0,апартаменты-студия,4,5,35000
370,5,ped,18.5,квартира-студия,9,9,55000
371,9,ped,70.0,квартира-студия,5,6,245000
372,9,ped,70.0,квартира-студия,5,11,250000
373,5,ped,19.0,апартаменты-студия,9,10,60000
374,5,ped,47.0,квартира-студия,7,7,55000
375,13,ped,30.8,апартаменты-студия,11,28,67400
376,13,ped,14.4,квартира-студия,1,4,90000
377,16,ped,24.0,квартира-студия,21,39,45000
378,15,ped,20.0,квартира-студия,1,17,35000
379,15,ped,33.0,квартира-студия,4,16,69000
380,11,ped,33.0,апартаменты-студия,5,14,95000
381,17,ped,50.0,квартира-студия,21,23,48000
382,14,ped,75.0,квартира-студия,9,14,180000
383,4,ped,51.0,апартаменты-студия,35,79,180000
384,7,ped,47.0,квартира-студия,6,13,80000
385,19,ped,34.0,квартира-студия,4,9,48000
386,4,ped,55.0,апартаменты-студия,31,79,250000
387,6,ped,29.0,квартира-студия,7,22,60000
388,4,ped,37.0,апартаменты-студия,6,15,70000
389,13,ped,51.6,апартаменты-студия,4,4,119990
390,2,ped,42.0,квартира-студия,3,8,52000
391,4,ped,51.0,апартаменты-студия,30,90,210000
392,9,ped,20.0,апартаменты-студия,11,14,54990
393,7,bus,30.0,квартира-студия,9,25,38000
394,5,ped,55.0,апартаменты-студия,40,77,180000
395,14,ped,17.0,квартира-студия,2,16,40000
396,17,ped,34.0,апартаменты-студия,3,10,76000
397,5,ped,32.0,квартира-студия,3,9,90000
398,15,ped,21.0,квартира-студия,22,25,40000
399,8,ped,20.4,квартира-студия,8,31,90000
400,5,ped,15.0,квартира-студия,1,4,45000
401,15,ped,39.0,квартира-студия,9,14,45000
402,4,ped,35.0,квартира-студия,10,12,55000
403,1,ped,60.0,квартира-студия,6,20,90000
404,10,ped,20.0,квартира-студия,7,11,45000
405,20,bus,12.2,квартира-студия,5,25,69000
406,16,ped,32.0,апартаменты-студия,7,25,65000
407,11,bus,35.0,квартира-студия,4,20,65000
408,10,ped,30.0,апартаменты-студия,8,16,70000
409,8,ped,30.0,квартира-студия,4,5,60000
410,10,ped,44.0,квартира-студия,4,14,65000
411,4,ped,50.0,апартаменты-студия,37,79,180000
412,15,bus,25.0,квартира-студия,4,27,30000
413,18,bus,27.0,квартира-студия,16,24,40000
414,4,ped,50.0,апартаменты-студия,50,79,180000
415,11,ped,46.3,квартира-студия,1,4,85000
416,8,ped,38.0,квартира-студия,9,9,70000
417,3,ped,60.0,квартира-студия,6,20,90000
418,9,ped,25.0,квартира-студия,15,33,54500
419,13,ped,15.8,квартира-студия,1,4,90000
420,9,ped,70.0,квартира-студия,5,11,245000
421,16,ped,15.0,квартира-студия,1,17,30000
422,9,ped,22.0,квартира-студия,14,18,46000
423,16,ped,22.0,квартира-студия,7,14,49500
424,20,bus,16.0,квартира-студия,5,25,75000
425,14,ped,19.7,квартира-студия,3,5,40000
426,22,bus,27.0,квартира-студия,8,16,40000
427,20,bus,15.9,квартира-студия,5,25,75000
428,5,ped,18.0,квартира-студия,10,10,50000
429,4,ped,50.4,апартаменты-студия,37,79,180000
430,9,ped,20.0,квартира-студия,2,15,40000
431,2,ped,36.0,квартира-студия,3,5,69000
432,5,ped,26.0,квартира-студия,2,25,78000
433,18,ped,33.0,квартира-студия,6,9,55000
434,8,ped,29.0,квартира-студия,14,22,43000
435,15,ped,82.0,квартира-студия,17,23,80000
436,8,bus,33.0,квартира-студия,15,24,65000
437,13,ped,18.5,квартира-студия,1,4,96000
438,10,ped,30.0,квартира-студия,15,52,75000
439,12,ped,37.0,квартира-студия,2,25,56000
440,10,ped,30.0,квартира-студия,27,52,80000
441,20,bus,14.9,квартира-студия,5,25,75000
442,16,ped,31.0,апартаменты-студия,11,25,65000
443,8,ped,19.7,квартира-студия,6,17,28700
444,5,ped,47.0,квартира-студия,2,9,75000
445,15,ped,37.0,квартира-студия,5,12,65000
446,13,ped,46.1,апартаменты-студия,10,28,73200
447,12,ped,32.0,квартира-студия,1,16,44000
448,9,ped,70.0,квартира-студия,5,6,245000
449,6,ped,28.0,апартаменты-студия,6,10,56000
450,17,ped,19.5,квартира-студия,10,25,34200
451,5,ped,16.0,квартира-студия,2,25,69000
452,19,bus,30.0,квартира-студия,7,9,60000
453,8,ped,35.0,квартира-студия,1,9,70000
454,8,ped,55.3,квартира-студия,2,9,100000
455,13,ped,33.0,апартаменты-студия,13,13,70000
456,5,ped,52.2,апартаменты-студия,35,77,180000
457,2,ped,48.0,квартира-студия,3,9,80000
458,11,ped,33.0,квартира-студия,8,8,50000
459,10,ped,31.0,апартаменты-студия,16,25,78900
460,17,ped,32.0,квартира-студия,5,25,50000
461,11,ped,52.0,квартира-студия,6,18,70000
462,10,ped,30.0,квартира-студия,15,50,68000
463,4,ped,52.0,апартаменты-студия,36,79,180000
464,5,ped,55.0,апартаменты-студия,42,77,180000
465,5,ped,19.0,квартира-студия,2,25,75000
466,3,ped,30.0,квартира-студия,19,23,75000
467,11,ped,42.0,квартира-студия,9,17,65000
468,10,ped,20.0,квартира-студия,6,25,36500
469,13,ped,30.0,апартаменты-студия,3,20,90000
470,11,ped,50.0,квартира-студия,6,8,65000
471,9,ped,70.0,квартира-студия,5,6,245000
472,5,ped,32.0,квартира-студия,3,9,90000
473,10,ped,18.0,апартаменты-студия,2,2,64000
474,11,ped,30.0,квартира-студия,8,14,75000
475,12,ped,19.7,квартира-студия,11,31,43500
476,9,ped,75.0,квартира-студия,52,58,150000
477,13,bus,30.0,квартира-студия,5,17,35000
478,20,bus,26.0,квартира-студия,2,17,23000
479,11,ped,19.8,квартира-студия,8,16,32700
480,20,ped,20.0,квартира-студия,4,25,29000
481,28,bus,24.0,квартира-студия,14,25,26000
482,25,ped,23.0,квартира-студия,18,22,30000
483,4,ped,20.0,квартира-студия,21,25,32700
484,8,ped,22.0,квартира-студия,2,3,37000
485,19,bus,20.0,квартира-студия,10,17,26000
486,13,bus,29.0,квартира-студия,17,24,30000
487,13,ped,16.5,квартира-студия,2,5,33000
488,14,ped,21.4,квартира-студия,11,17,36800
489,16,bus,23.1,квартира-студия,6,17,27500
490,13,ped,20.0,квартира-студия,3,16,33700
491,22,ped,26.0,квартира-студия,11,23,32000
492,4,ped,32.0,квартира-студия,2,5,37000
493,4,ped,19.7,квартира-студия,3,9,60000
494,20,bus,22.2,квартира-студия,7,13,26000
495,7,bus,30.0,квартира-студия,12,22,40000
496,11,ped,20.0,квартира-студия,14,25,38000
497,13,ped,30.5,апартаменты-студия,13,28,67400
498,3,ped,23.0,апартаменты-студия,6,6,52500
499,9,ped,25.8,квартира-студия,8,9,34000
500,4,ped,33.0,апартаменты-студия,6,15,60000
501,13,bus,30.0,квартира-студия,12,25,32000
502,9,bus,27.0,квартира-студия,10,18,35000
503,15,ped,21.0,квартира-студия,2,25,36500
504,12,ped,21.5,квартира-студия,6,11,45000
505,4,ped,24.0,квартира-студия,18,31,31000
506,13,ped,22.0,квартира-студия,23,33,40900
507,14,bus,35.0,квартира-студия,6,9,35000
508,15,bus,19.0,квартира-студия,5,16,15000
509,20,bus,31.0,квартира-студия,2,2,27000
510,11,ped,27.0,квартира-студия,29,33,47000
511,18,ped,20.0,апартаменты-студия,3,5,44000
512,11,ped,20.0,квартира-студия,21,24,40000
513,12,ped,45.0,апартаменты-студия,6,7,65000
514,9,ped,20.0,квартира-студия,13,25,41900
515,7,ped,32.0,квартира-студия,16,25,39300
516,5,ped,30.8,квартира-студия,7,9,60000
517,45,bus,26.0,квартира-студия,1,16,20000
518,14,ped,21.0,квартира-студия,11,24,45000
519,4,ped,25.0,квартира-студия,3,30,40000
520,13,ped,46.1,апартаменты-студия,10,28,73200
521,21,ped,30.0,квартира-студия,12,17,44000
522,10,ped,25.0,апартаменты-студия,1,5,45500
523,13,ped,32.5,апартаменты-студия,10,28,55000
524,13,ped,30.0,квартира-студия,10,25,37000
525,15,bus,25.0,квартира-студия,15,15,30000
526,16,bus,25.0,квартира-студия,16,33,41900
527,29,bus,22.0,квартира-студия,2,2,20000
528,23,bus,40.0,квартира-студия,11,24,40000
529,7,ped,29.0,квартира-студия,8,22,56000
530,14,ped,21.2,квартира-студия,3,17,36000
531,6,ped,27.0,квартира-студия,21,25,31000
532,20,bus,20.0,квартира-студия,3,9,29700
533,12,ped,20.7,квартира-студия,5,37,42000
534,11,ped,24.0,квартира-студия,1,22,55000
535,10,ped,23.0,квартира-студия,14,18,35000
536,12,ped,23.2,квартира-студия,3,17,39000
537,27,bus,28.0,квартира-студия,9,15,28000
538,14,ped,17.3,апартаменты-студия,10,26,45000
539,13,ped,21.5,квартира-студия,16,25,47500
540,3,ped,23.5,квартира-студия,14,33,40000
541,14,bus,32.0,квартира-студия,6,15,40000
542,9,ped,19.6,квартира-студия,10,25,40900
543,5,ped,61.0,1-комнатная,9,13,200000
544,8,ped,33.0,1-комнатная,8,12,46000
545,13,ped,38.0,1-комнатная,4,17,47500
546,14,ped,72.0,1-комнатная,2,3,39000
547,8,ped,33.0,1-комнатная,5,9,29000
